,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
640,0.8933002481389577,415.0,1600.0,15.0,0.49632276850715507,0.49627791563275436,0.4994362031923574,0.4962779156327547,0.49687663229663415,0.5013100085570714,0.4988770388754475,0.49627791563275436
648,0.891089108910891,420.0,1600.0,15.0,0.49512890116956065,0.4950495049504954,0.49831578618155264,0.4950495049504954,0.49602795262899674,0.49967026372500234,0.4975681008296202,0.4950495049504954
656,0.8888888888888888,425.0,1600.0,15.0,0.4939506378746854,0.49382716049382713,0.49718753878909655,0.49382716049382713,0.4951852672568233,0.49801037531482145,0.49627163688753123,0.49382716049382713
664,0.8866995073891624,430.0,1600.0,15.0,0.4927876302856099,0.49261083743842365,0.49605746009923496,0.4926108374384233,0.494338554394255,0.4963554625896346,0.49497261925345015,0.49261083743842365
672,0.8845208845208844,435.0,1600.0,15.0,0.4916394412740098,0.49140049140049175,0.494924649953604,0.4914004914004911,0.4934225655986148,0.4948192973232582,0.4936798645741956,0.4914004914004911
680,0.8823529411764705,440.0,1600.0,15.0,0.49050554270473706,0.49019607843137253,0.4937937440260538,0.49019607843137253,0.4924336487629158,0.4934070886125892,0.4923942711056978,0.49019607843137253
688,0.8801955990220048,445.0,1600.0,15.0,0.4893853216142684,0.4889975550122249,0.4926528390266264,0.4889975550122249,0.49133587750504915,0.49216946738293516,0.4911243879835122,0.48899755501222525
696,0.8780487804878049,450.0,1600.0,15.0,0.48827808565696584,0.4878048780487805,0.49150708838842655,0.4878048780487805,0.49015565041038045,0.4909947765558324,0.48985557427025905,0.4878048780487805
704,0.8759124087591239,455.0,1600.0,15.0,0.48718307093313407,0.4866180048661808,0.49035601935041756,0.4866180048661804,0.4889663684073356,0.4898299835733751,0.48859648567054254,0.4866180048661808
712,0.8737864077669902,460.0,1600.0,15.0,0.4860994476012547,0.48543689320388383,0.48920296358165194,0.4854675192396841,0.4877727682596741,0.4886664914043888,0.487347928267319,0.4854368932038835
720,0.8716707021791766,465.0,1600.0,15.0,0.4850263246872072,0.4842615012106534,0.4879798839108444,0.484473622336384,0.4865765246292628,0.48751280771453254,0.4861174998275127,0.48426150121065376
728,0.8695652173913043,470.0,1600.0,15.0,0.4839627625970168,0.4830917874396135,0.48663817888973593,0.4836249548080266,0.4853752267115408,0.48636026838844354,0.4848919650307931,0.4830917874396135
736,0.8674698795180721,475.0,1600.0,15.0,0.48290777630519277,0.48192771084337316,0.4852049228801302,0.48288586140579287,0.48417232087512896,0.48521739184336155,0.4836790791526276,0.4819277108433735
744,0.8653846153846153,480.0,1600.0,15.0,0.4818603469090688,0.4807692307692308,0.4837082692790449,0.4822351887049816,0.48296397212535874,0.484075631648624,0.4824794441767287,0.4807692307692308
752,0.8633093525179856,485.0,1600.0,15.0,0.48081942905645575,0.47961630695443574,0.4822131827644301,0.4815897271070503,0.4817553135198883,0.48294341402482677,0.4812991158643892,0.47961630695443647
760,0.8612440191387559,490.0,1600.0,15.0,0.4797839596562487,0.47846889952153154,0.48075343231215345,0.48092544498110645,0.4805411953135649,0.48181228753775696,0.4801270959462122,0.47846889952153154
768,0.8591885441527445,495.0,1600.0,15.0,0.4787528676242253,0.47732696897374627,0.47936458059296994,0.48020254873887686,0.4793283090143423,0.4806907139477654,0.47896965075535214,0.477326968973747
776,0.857142857142857,500.0,1600.0,15.0,0.477725082982434,0.47619047619047616,0.47807092944681134,0.4793968173889922,0.4781103187786729,0.47957018240667604,0.47782706732927765,0.47619047619047616
784,0.8551068883610451,505.0,1600.0,15.0,0.47669954535982456,0.4750593824228028,0.4768911844369799,0.4784547820269338,0.47689526180051306,0.47845897027161033,0.4767035161254146,0.4750593824228028
792,0.8530805687203791,510.0,1600.0,15.0,0.47567521495564913,0.47393364928910026,0.4758221884588862,0.47737468115231496,0.47567582972548456,0.4773487738257672,0.47559075650374255,0.47393364928910026
800,0.8510638297872338,515.0,1600.0,15.0,0.47465108092193115,0.4728132387706856,0.474856472247641,0.47615217911576824,0.4744611725578931,0.47624778277922225,0.47449319030945764,0.4728132387706856
