,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
152,10.588235294117645,20.0,150.0,15.0,5.8827327769141045,5.882352941176471,5.884065529574955,5.882352941176471,5.883243663098532,5.883559057543963,5.883069979941521,5.882352941176471
160,10.285714285714283,20.0,155.0,15.0,5.714523560797551,5.714285714285714,5.7150505530157325,5.714285714285714,5.715225951253028,5.715513681799776,5.71592349451708,5.714285714285714
168,10.0,20.0,160.0,15.0,5.556557756339654,5.555555555555555,5.556974714488402,5.555555555555555,5.555590604790226,5.556690546233924,5.556568591706417,5.555555555555555
176,9.729729729729728,20.0,165.0,15.0,5.405437617072194,5.405405405405405,5.406412758085118,5.405405405405405,5.406386410898327,5.406565822424634,5.4067763928721195,5.405405405405405
184,9.473684210526315,20.0,170.0,15.0,5.264058386597744,5.2631578947368425,5.2646755164188885,5.2631578947368425,5.263344777609338,5.264235839259895,5.263888631884955,5.2631578947368425
192,9.23076923076923,20.0,175.0,15.0,5.128864391079261,5.128205128205129,5.1287783109206915,5.128205128205129,5.12865241349985,5.1293116276518775,5.129372529300009,5.1285793490107014
200,8.999999999999998,20.0,180.0,15.0,4.999999999999999,5.0,5.001110208471555,5.0,4.999999999999999,5.002047364001806,5.001078149588295,5.0
208,8.780487804878048,20.0,185.0,15.0,4.87849136265026,4.878048780487805,4.879180799584305,4.878408556004309,4.878672904459278,4.879113196817853,4.878594500489022,4.878048780487805
216,8.571428571428571,20.0,190.0,15.0,4.762741682079914,4.761904761904762,4.763262797590176,4.761904761904762,4.762043830143392,4.762881941027709,4.76259191566999,4.761904761904762
224,8.372093023255813,20.0,195.0,15.0,4.6512409892889215,4.652071864345999,4.652224361886529,4.651162790697675,4.651158764294259,4.652173029646003,4.652133548381446,4.651162790697675
232,8.181818181818182,20.0,200.0,15.0,4.546320383391936,4.545454545454546,4.546320936337208,4.545454545454546,4.545477593270253,4.546384880011049,4.546560757255155,4.545454545454546
240,7.999999999999999,20.0,205.0,15.0,4.44529161016517,4.444444444444445,4.44526197048857,4.444444444444445,4.44446967066146,4.445409290627762,4.4455516368823496,4.444444444444445
248,7.826086956521738,20.0,210.0,15.0,4.348298995744985,4.348205372388128,4.348722288008898,4.3478260869565215,4.347831610120288,4.348717290937937,4.348822499577896,4.3478260869565215
256,7.659574468085105,20.0,215.0,15.0,4.256120117791079,4.25531914893617,4.256399027147505,4.25531914893617,4.255340853981111,4.256246253872595,4.256091443073443,4.25531914893617
264,7.499999999999999,20.0,220.0,15.0,4.167323344067482,4.166666666666667,4.167922377460652,4.166666666666667,4.166894642637061,4.167525520999631,4.167176923686115,4.166666666666667
272,7.346938775510203,20.0,225.0,15.0,4.081906105160919,4.081632653061225,4.0828498030186005,4.081632653061225,4.082240621674646,4.082528810230914,4.082118208196324,4.081632653061225
280,7.199999999999999,20.0,230.0,15.0,4.0,4.0,4.00087075614573,4.0,4.000000000000001,4.0016462941004916,4.00087075614573,4.0
288,7.058823529411764,20.0,235.0,15.0,3.9219042243901963,3.9215686274509802,3.9220047720605065,3.9215686274509802,3.9220721829272045,3.9224173602739403,3.9227257184395454,3.9215844822087957
296,6.9230769230769225,20.0,240.0,15.0,3.8469024354414803,3.8461538461538463,3.846902920056354,3.8461538461538463,3.8461676927920982,3.8469441169468275,3.8470709547412265,3.8461538461538463
304,6.792452830188679,20.0,245.0,15.0,3.7740311074752313,3.7735849056603774,3.774249396624745,3.774131192156279,3.773958192267629,3.7744138567085344,3.7739961019336,3.7735849056603774
312,6.666666666666665,20.0,250.0,15.0,3.7037138357479535,3.7037037037037037,3.704420041257516,3.7037037037037037,3.7044032377255784,3.704456568005985,3.704596820738578,3.7037037037037037
320,6.545454545454544,20.0,255.0,15.0,3.636993228443345,3.6363636363636362,3.636862500086575,3.6363636363636362,3.6364986201305913,3.637155077969242,3.6373971208746902,3.6363636363636362
328,6.428571428571427,20.0,260.0,15.0,3.5718979787947074,3.5714285714285716,3.5725351743644533,3.5714285714285716,3.5717308479862324,3.5721691468174903,3.5718204633181343,3.5714285714285716
336,6.315789473684209,20.0,265.0,15.0,3.5088279664579463,3.508771929824561,3.509343596464884,3.508771929824561,3.50942094596368,3.5095301636064655,3.509722495143494,3.508771929824561
