speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
172.49999999999997,20.0,60.0,115.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708254,12.502786976115425,12.5
175.49999999999997,20.0,60.0,117.0,12.499999999999998,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
178.5,20.0,60.0,119.0,12.500000000000002,12.499999999999998,12.502960934301068,12.5,12.499999999999996,12.505056468708254,12.502786976115425,12.5
181.5,20.0,60.0,121.0,12.5,12.5,12.502960934301067,12.5,12.5,12.505056468708252,12.502786976115424,12.5
184.5,20.0,60.0,123.0,12.499999999999998,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115424,12.5
187.5,20.0,60.0,125.0,12.5,12.5,12.502960934301072,12.5,12.500000000000005,12.505056468708254,12.502786976115424,12.5
190.5,20.0,60.0,127.0,12.5,12.5,12.502960934301067,12.5,12.5,12.505056468708252,12.502786976115424,12.5
193.49999999999997,20.0,60.0,129.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999996,12.505056468708252,12.502786976115427,12.5
196.49999999999997,20.0,60.0,131.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
199.49999999999997,20.0,60.0,133.0,12.499999999999998,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
202.5,20.0,60.0,135.0,12.5,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
205.49999999999997,20.0,60.0,137.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115425,12.5
208.5,20.0,60.0,139.0,12.499999999999998,12.5,12.502960934301067,12.5,12.500000000000002,12.505056468708252,12.502786976115427,12.5
211.49999999999997,20.0,60.0,141.0,12.5,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708252,12.502786976115425,12.5
214.5,20.0,60.0,143.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115424,12.5
217.49999999999997,20.0,60.0,145.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115427,12.5
220.5,20.0,60.0,147.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115427,12.5
223.49999999999997,20.0,60.0,149.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708252,12.502786976115424,12.5
226.5,20.0,60.0,151.0,12.500000000000002,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115427,12.5
229.5,20.0,60.0,153.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
232.49999999999997,20.0,60.0,155.0,12.499999999999998,12.5,12.502960934301068,12.5,12.499999999999996,12.505056468708252,12.50278697611542,12.5
235.5,20.0,60.0,157.0,12.5,12.5,12.502960934301075,12.499999999999998,12.5,12.505056468708252,12.502786976115424,12.5
238.49999999999997,20.0,60.0,159.0,12.500000000000002,12.5,12.502960934301072,12.5,12.500000000000002,12.505056468708252,12.502786976115429,12.5
241.5,20.0,60.0,161.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
244.49999999999997,20.0,60.0,163.0,12.5,12.5,12.502960934301072,12.5,12.499999999999998,12.505056468708254,12.502786976115425,12.5
247.5,20.0,60.0,165.0,12.5,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.50278697611542,12.5
250.49999999999997,20.0,60.0,167.0,12.5,12.5,12.502960934301068,12.5,12.499999999999998,12.505056468708254,12.50278697611542,12.5
253.49999999999997,20.0,60.0,169.0,12.500000000000002,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.50278697611542,12.5
256.5,20.0,60.0,171.0,12.5,12.5,12.502960934301067,12.5,12.499999999999993,12.505056468708252,12.502786976115427,12.5
259.49999999999994,20.0,60.0,173.0,12.500000000000002,12.5,12.502960934301074,12.5,12.5,12.505056468708252,12.502786976115424,12.5
262.5,20.0,60.0,175.0,12.5,12.5,12.502960934301068,12.5,12.5,12.505056468708252,12.502786976115425,12.5
265.5,20.0,60.0,177.0,12.499999999999996,12.5,12.502960934301072,12.5,12.499999999999996,12.505056468708252,12.502786976115424,12.5
268.5,20.0,60.0,179.0,12.5,12.5,12.502960934301067,12.5,12.500000000000005,12.505056468708252,12.502786976115429,12.5
271.5,20.0,60.0,181.0,12.500000000000005,12.5,12.502960934301074,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
274.5,20.0,60.0,183.0,12.5,12.5,12.502960934301072,12.5,12.5,12.505056468708252,12.502786976115427,12.5
